baseMean log2FoldChange lfcSE stat pvalue padj
Cpla|SGF53853 448.115202510386 4.81422626250406 0.242947608321195 19.8159030902633 2.17078453898416e-87 3.07621877019445e-83
Cpla|SGF65151 324.993526930916 -6.92915701323359 0.449572409698916 -15.4127719222675 1.34324285505059e-53 9.51754724946098e-50
Cpla|SGF53725 68.2345034615278 -6.65694444062596 0.555969648392345 -11.9735752839662 4.88761534917555e-33 2.30874657043889e-29
Cpla|SGF50282 60.548504157382 -6.32458543911577 0.541210448121138 -11.6860002630625 1.50299635939341e-31 5.32474035224101e-28
Cpla|SGF60176 430.178206869773 5.07153781299383 0.43831221400227 11.570605725734 5.80712359299605e-31 1.64585496872694e-27
Cpla|SGF49156 860.876102573735 0.736693418954853 0.0655527688712785 11.2381739419954 2.64803077232311e-29 6.25420734576514e-26
Cpla|SGF48392 661.94857641168 -3.04954846567767 0.274202367982633 -11.1215249091898 9.85725947992595e-29 1.99553177271472e-25
Cpla|SGF63043 1375.85726726204 0.768969205074308 0.0729629836952932 10.5391688515051 5.70004182166464e-26 1.00969115818512e-22
Cpla|SGF61928 32.8921335935504 -5.52279001899604 0.527417395102228 -10.4713838987536 1.16921034906754e-25 1.84098665073735e-22
Cpla|SGF59009 848.837622985359 -3.1875293063941 0.306336201614111 -10.4053301229131 2.34442073084995e-25 3.32227861768746e-22
Cpla|SGF55546 264.162753841925 -3.28918232562176 0.317790478959071 -10.3501600689723 4.17786718954191e-25 5.3822323584544e-22
Cpla|SGF64627 1908.71872883287 -0.758424473510113 0.0735498816600102 -10.3117021590325 6.23864366069425e-25 7.36731827630819e-22
Cpla|SGF47263 9005.14200213258 1.00657308661689 0.0985206367144651 10.2168755723145 1.66625092122281e-24 1.81634167728065e-21
Cpla|SGF63964 288.540700182826 -1.06751908594039 0.104775383119889 -10.1886440703242 2.22850654564917e-24 2.25572616131388e-21
Cpla|SGF61383 104.500696030588 -2.3873841383435 0.234757760845421 -10.16956427658 2.71118746600615e-24 2.56134917205154e-21
Cpla|SGF61105 1088.53750924592 -4.03040321323935 0.397478426806584 -10.1399294689283 3.67364726569666e-24 3.25370346263671e-21
Cpla|SGF56698 229.375813149764 1.97887889586285 0.195856264510362 10.1037304107173 5.31798988307046e-24 4.43301380194068e-21
Cpla|SGF57342 177.910443342993 2.26772314151114 0.226068332275585 10.0311402251011 1.11224665845445e-23 8.75647077608778e-21
Cpla|SGF56928 1581.40406793585 0.642109302703953 0.0644880912277838 9.9570213736968 2.34997927862072e-23 1.75271349249127e-20
Cpla|SGF56575 379.154347705611 -0.973820385566797 0.0981729344609547 -9.91943849813417 3.4267848345834e-23 2.42804839454407e-20
Cpla|SGF63972 251.081362092646 1.87152930319973 0.191005420780476 9.79830465309508 1.14491063840904e-22 7.72596602709264e-20
Cpla|SGF46864 1127.96277652657 -0.787576968059605 0.0804393939427367 -9.79093612540475 1.23150364740468e-22 7.93256281244166e-20
Cpla|SGF63993 1015.87292082384 -3.82394386319401 0.393863636689056 -9.70880149114375 2.76569913355553e-22 1.70403140963545e-19
Cpla|SGF55795 1092.34500823085 1.23971102969535 0.127879993589343 9.69433134065045 3.18718466514089e-22 1.88189974540465e-19
Cpla|SGF61043 101.757221340828 -1.53235397394242 0.159319108937572 -9.61814300971805 6.70303128508112e-22 3.79954625363538e-19
Cpla|SGF51973 43.7356654904224 -3.65301286597952 0.380887231528772 -9.59079896513563 8.74055183583993e-22 4.76393692560337e-19
Cpla|SGF65632 3091.35419043671 -0.654638480240453 0.0684818493484176 -9.55929909120627 1.18556887487137e-21 6.22248019474152e-19
Cpla|SGF49410 351.204307333169 -2.66037759085475 0.28053527899361 -9.48321936691373 2.4655644480485e-21 1.24783977833198e-18
Cpla|SGF51731 1755.61657090594 -0.77800002384169 0.0821347938118722 -9.47223445430058 2.7392038592972e-21 1.3385261341414e-18
Cpla|SGF47069 1497.88603324073 -0.573760469784253 0.0608202740692329 -9.43370411536013 3.9585703175406e-21 1.86989666566226e-18
Cpla|SGF54646 1570.37949038395 -3.71466229740681 0.395066195655524 -9.40263261766337 5.32146222962028e-21 2.43259487922416e-18
Cpla|SGF60878 78.6668280885325 -3.02586715394557 0.324147631611839 -9.33484270392261 1.01141317240102e-20 4.47898002065465e-18
Cpla|SGF56601 1612.88861811457 2.93989939025771 0.315906315698903 9.30623809705593 1.32440197021354e-20 5.68730312724125e-18
Cpla|SGF53378 2683.60982750794 -2.70721990732533 0.296688802356421 -9.12477951922523 7.18824249471317e-20 2.99601718801707e-17
Cpla|SGF57677 256.286855557661 -3.62147986907823 0.397810640311446 -9.10352690979551 8.74450090491743e-20 3.54052349495957e-17
Cpla|SGF57606 630.260107511592 -2.28526943335427 0.251660685385504 -9.08075661422282 1.07822683372844e-19 4.24432012799049e-17
Cpla|SGF59881 21.3845788251987 -5.34682155702335 0.589678899445468 -9.06734421403153 1.21953162750326e-19 4.67080613333747e-17
Cpla|SGF59316 8963.84258048375 -0.554174163603166 0.0612606496496362 -9.04616857269088 1.4807278945438e-19 5.52194605094217e-17
Cpla|SGF57464 1078.83683830089 0.841248551242103 0.093430111733355 9.00404094177887 2.17558969501532e-19 7.9052004020672e-17
Cpla|SGF50989 318.532251299563 -1.86628180721226 0.207674558177692 -8.9865692918216 2.5506789979228e-19 9.03641801989101e-17
Cpla|SGF65633 296.773395452199 -3.2511873392483 0.367310269123571 -8.85133799010265 8.6476235954212e-19 2.9889139992857e-16
