,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hsal|LOC105188195,569.198590857,0.8989783998,0.215821875625,-4.16537200965,3.10845275309e-05,0.0134355805587
Hsal|LOC105180923,71.43723058,-1.36544308954,0.333513082496,4.09412152386,4.23772016641e-05,0.0165407272659
Hsal|LOC105188106,48.0173195847,0.68830153524,0.168365991762,-4.08812687191,4.34870314069e-05,0.0165407272659
Hsal|LOC105188827,379.100044735,-0.790279683268,0.192539724269,4.10450199961,4.05186767188e-05,0.0165407272659
Hsal|LOC105183446,902.80781379,-0.727500974145,0.183010903182,3.97517831723,7.03265431789e-05,0.0257205807342
Hsal|LOC105180825,24.2726274985,-1.2809078528,0.324359689792,3.94903526274,7.84667931752e-05,0.0266478834394
Hsal|LOC105182697,16.888873201,-1.33345316506,0.337610665839,3.94967724655,7.82566435364e-05,0.0266478834394
Hsal|LOC105188124,558.615084341,0.248680391732,0.0633863238054,-3.9232499505,8.73624318439e-05,0.0286458401518
Hsal|LOC105188434,13.9965938486,-1.39977999102,0.363513863038,3.85069218356,0.000117784461543,0.0373337481605
Hsal|LOC105181622,332.455979592,-0.424320468783,0.110739850915,3.83168719552,0.00012726748575,0.0386577371096
Hsal|LOC105185288,145.430735813,0.435128095479,0.113720810007,-3.82628382133,0.0001300922902,0.0386577371096
Hsal|LOC105191415,21.2966933895,-0.727716016799,0.190816364744,3.81369814783,0.000136902665405,0.0394487104648
Hsal|LOC105189251,71.2590944203,-0.766941377749,0.201774172692,3.80098883576,0.00014411979623,0.0403069159515
Hsal|LOC105184860,429.814209337,-0.994948604207,0.265491391877,3.74757387489,0.000178553257621,0.0485103693348
Hsal|LOC105183031,329.495042395,0.657736798011,0.176522781527,-3.72607315794,0.000194485978295,0.0513713102114
Hsal|LOC105189376,40.8877309334,0.998694580979,0.268691272818,-3.71688507224,0.000201694135526,0.0518353928302
Hsal|LOC105180749,36.6461538029,-1.16655156924,0.315985627845,3.69178679801,0.000222684101979,0.0542949519414
Hsal|LOC105188880,157.979268702,-0.445126022689,0.120540152322,3.69276140867,0.000221832125891,0.0542949519414
Hsal|LOC105183248,747.926203313,0.337850655171,0.0928005360706,-3.6406110296,0.000271991783799,0.0615802350512
Hsal|LOC105185295,129.622789648,-0.967765099898,0.265753041966,3.64159556835,0.000270953503503,0.0615802350512
Hsal|LOC105189551,1630.16194241,0.198379744422,0.0544549577872,-3.64300611888,0.000269472429798,0.0615802350512
Hsal|LOC105181812,96.8518727007,-0.54293058709,0.149889471269,3.62220629972,0.000292101018977,0.0628467050347
Hsal|LOC105187841,241.276772464,0.338018519628,0.0931730115348,-3.62785869062,0.000285781592744,0.0628467050347
Hsal|LOC105190160,77.0125159766,-0.806551063696,0.222955499852,3.61754280217,0.000297413158751,0.0628467050347
