,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Dqua|LOC106743490,29231.5812042,-1.02248587176,0.252466742855,-4.04998242618,5.12214794329e-05,0.00405930224506
Dqua|LOC106741909,3313.4417759,-0.510381450056,0.126462507984,-4.03583210703,5.44091153209e-05,0.00427849663423
Dqua|LOC106742851,1673.52603043,-0.541000262922,0.134510872152,-4.02198167528,5.77105486301e-05,0.00450319850233
Dqua|LOC106748821,12442.0573971,1.45367744686,0.362344721709,4.01186317825,6.0241412616e-05,0.00466480068379
Dqua|LOC106749489,174.443169108,1.51817497762,0.379966471967,3.99554984353,6.45442751936e-05,0.00496012975427
Dqua|LOC106741635,48462.0197,-0.671594626698,0.168198186153,-3.9928767489,6.52765021902e-05,0.00497868299412
Dqua|LOC106742964,3085.77324256,-0.820529686647,0.20580184948,-3.98698888626,6.69171588845e-05,0.00502820488685
Dqua|LOC106748335,787.303831667,1.42177463914,0.35646182689,3.98857474177,6.64714603065e-05,0.00502820488685
Dqua|LOC106741142,641.013591612,0.483286792374,0.121515773969,3.97715273161,6.97453708585e-05,0.00512679015934
Dqua|LOC106742356,129.863490661,0.851072004356,0.213984782888,3.97725479761,6.97154514098e-05,0.00512679015934
Dqua|LOC106749805,7184.80206692,-1.434225612,0.360546942947,-3.97791644073,6.95217928053e-05,0.00512679015934
Dqua|LOC106749517,194.497095164,-1.13057667045,0.284669623459,-3.97153955773,7.14096399177e-05,0.00521136249874
Dqua|LOC106741205,19673.8711396,-0.94643982342,0.238567429863,-3.96717952641,7.2728209195e-05,0.00523230463883
Dqua|LOC106748165,84.6370943889,1.35104591875,0.340511703968,3.96769304257,7.25717226156e-05,0.00523230463883
Dqua|LOC106742427,993.226559623,1.54783114635,0.390519499591,3.9635182058,7.38532285511e-05,0.00527582500297
Dqua|LOC106745447,963.195376695,-0.852985913731,0.215443295534,-3.95921308025,7.51971243316e-05,0.0053342631414
Dqua|LOC106741847,4340.30193237,-0.64035603238,0.161870300114,-3.95598223966,7.62208238383e-05,0.00534081802483
Dqua|LOC106750117,153382.246714,-1.05524179079,0.26688242284,-3.95395762508,7.68690291429e-05,0.00534081802483
Dqua|LOC106750817,90.0587457364,-1.49566273235,0.378163815404,-3.95506569223,7.65136248788e-05,0.00534081802483
Dqua|LOC106745587,227.238037335,-1.49309959586,0.378216878941,-3.94773390349,7.88944235138e-05,0.00544425191921
Dqua|LOC106741712,2944.83041629,-0.489506666258,0.124320762676,-3.93744902878,8.23524174483e-05,0.00556921948397
