,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aech|LOC105154380,230.971150241,1.52989438143,0.200646284886,-7.62483283609,2.44350820322e-14,2.57487701059e-12
Aech|LOC105153713,384.576348432,2.70588183307,0.355850912378,-7.60397610051,2.87168308348e-14,2.99640422132e-12
Aech|LOC105144184,623.184642987,2.20970999348,0.290911948138,-7.59580349869,3.0588840517e-14,3.16074786041e-12
Aech|LOC105149621,13.8227537965,3.51437001041,0.463054188729,-7.5895437207,3.21033940525e-14,3.2853502202e-12
Aech|LOC105152167,79.0183383697,2.05171947539,0.271359021731,-7.56090386198,4.00278021369e-14,4.05729426803e-12
Aech|LOC105151254,222.716108811,1.94498183629,0.258397052493,-7.52710535017,5.18775132597e-14,5.20879597757e-12
Aech|LOC105149876,632.604428036,1.95076070135,0.261637141595,-7.45597773106,8.92038123673e-14,8.87286144884e-12
Aech|LOC105146046,3657.34134141,-1.11527545563,0.150358622017,7.41743599848,1.1940935766e-13,1.17673499405e-11
Aech|LOC105149841,42.2674171981,3.60273369031,0.486020537968,-7.41271902906,1.23735858363e-13,1.20818416565e-11
Aech|LOC105149658,4678.22628603,-1.3403643011,0.181152888933,7.39907770168,1.37133596506e-13,1.32682987964e-11
Aech|LOC105146517,2752.47589046,2.11243921942,0.286574406444,-7.37134640052,1.68913304736e-13,1.61958946153e-11
Aech|LOC105146186,3044.1012048,1.66947573695,0.226620982248,-7.3668189079,1.74747602952e-13,1.66057030198e-11
Aech|LOC105152677,11.1752182714,3.83279911413,0.520666237618,-7.36133599071,1.82078628308e-13,1.71492286821e-11
Aech|LOC105147051,17.2748488194,3.44268239208,0.467871655222,-7.35817687107,1.8643891541e-13,1.74058717256e-11
Aech|LOC105154080,2647.49818217,1.78206036108,0.243415104057,-7.32107552643,2.45991333596e-13,2.27659631606e-11
Aech|LOC105143138,39.2545519077,3.03063998586,0.415329646517,-7.29695077457,2.94362426494e-13,2.70077526308e-11
Aech|LOC105153036,653.023975966,-1.31208423894,0.180014583879,7.28876633585,3.12806020325e-13,2.84546536266e-11
Aech|LOC105144565,3101.27795298,1.65650835794,0.227828573011,-7.27085429212,3.57221096727e-13,3.22195265463e-11
Aech|LOC105153409,594.57171739,1.86094393199,0.256976408783,-7.24169172105,4.43122184436e-13,3.96315076383e-11
Aech|LOC105149847,15.8196243351,3.05453085533,0.422903938479,-7.2227533901,5.09453542523e-13,4.51842837756e-11
Aech|LOC105149753,867.863785382,-0.971614828024,0.13464723684,7.21600272552,5.35379845511e-13,4.70913032709e-11
Aech|LOC105148319,12.7772917971,3.46947964092,0.481243947032,-7.20939902167,5.61993547828e-13,4.90270272912e-11
Aech|LOC105150965,171.322226921,-2.49314439856,0.347138300236,7.18199172164,6.8703082717e-13,5.94477162079e-11
Aech|LOC105144499,3840.56659114,-1.14366303457,0.159343911441,7.17732497105,7.10885775475e-13,6.1015784745e-11
Aech|LOC105148337,2276.41404981,1.94648355404,0.271432898983,-7.17114086515,7.43753252779e-13,6.33261269547e-11
Aech|LOC105149177,1099.59054826,1.77568964044,0.248078624033,-7.15776962791,8.2000200878e-13,6.92641379321e-11
Aech|LOC105154074,535.312845541,1.54626393883,0.216084365227,-7.15583442238,8.31654774205e-13,6.96952894635e-11
Aech|LOC105154285,851.944484523,2.18664644464,0.305840699213,-7.14962544313,8.70149995101e-13,7.23516124833e-11
Aech|LOC105150088,320.442175508,1.67456468862,0.234310021644,-7.14679072141,8.88301453595e-13,7.32883129505e-11
Aech|LOC105147278,454.259050647,1.72644026476,0.241787036317,-7.14033428367,9.31042160056e-13,7.62237054575e-11
Aech|LOC105144552,2862.3422015,1.98893727209,0.278616623924,-7.13861665569,9.42748436796e-13,7.6592913075e-11
